ajudar	to help	midias/audios/F_audio_media-001.opus	midias/imagens/img_media-001.webp
dormir	to sleep	midias/audios/F_audio_media-002.opus	midias/imagens/img_media-002.webp
entender	to understand	midias/audios/F_audio_media-003.opus	midias/imagens/img_media-003.webp
escovar	to brush	midias/audios/F_audio_media-004.opus	midias/imagens/img_media-004.webp
escrever	to write	midias/audios/F_audio_media-005.opus	midias/imagens/img_media-005.webp
fazer	to do	midias/audios/F_audio_media-006.opus	midias/imagens/img_media-006.webp
jogar	to play	midias/audios/F_audio_media-007.opus	midias/imagens/img_media-007.webp
ler	to read	midias/audios/F_audio_media-008.opus	midias/imagens/img_media-008.webp
precisar	to need	midias/audios/F_audio_media-009.opus	midias/imagens/img_media-009.webp
saber	to know	midias/audios/F_audio_media-010.opus	midias/imagens/img_media-010.webp
