comer	to eat	midias/audios/F_audio_media-001.opus	midias/imagens/img_media-001.webp
beber	to drink	midias/audios/F_audio_media-002.opus	midias/imagens/img_media-002.webp
gostar	to like	midias/audios/F_audio_media-003.opus	midias/imagens/img_media-003.webp
amar	to love	midias/audios/F_audio_media-004.opus	midias/imagens/img_media-004.webp
ter	to have	midias/audios/F_audio_media-005.opus	midias/imagens/img_media-005.webp
ser	to be	midias/audios/F_audio_media-006.opus	midias/imagens/img_media-006.webp
estar	to be	midias/audios/F_audio_media-007.opus	midias/imagens/img_media-007.webp
estudar	to study	midias/audios/F_audio_media-008.opus	midias/imagens/img_media-008.webp
falar	to speak	midias/audios/F_audio_media-009.opus	midias/imagens/img_media-009.webp
querer	to want	midias/audios/F_audio_media-010.opus	midias/imagens/img_media-010.webp
